,Bulgaria,Lithuania,Georgia,Bosnia and Herzegovina,Latvia
1990,-1.803750479,0.36799903,-0.027068389,-0.989770812,-0.142736398
1991,-0.99042598,0.170116869,0.703475649,-2.130834582,-0.473114694
1992,-1.073853191,-0.108586325,0.77451105,-3.153745279,-1.376795066
1993,-0.797665852,-0.474107543,0.768558451,-3.723278706,-1.971932096
1994,-0.339586079,-0.694003963,-1.539430121,-3.553828824,-1.673828701
1995,-0.4453985,-0.769728018,-3.757716068,-2.768239302,-1.425810812
1996,-0.51572988,-0.760343408,-3.62954608,-1.702293621,-1.126375096
1997,-0.608797355,-0.737830358,-3.207518172,-0.755927647,-0.996762289
1998,-0.667302701,-0.724436207,-2.474222976,-0.046369623,-0.942918937
1999,-0.560648225,-0.709489234,-2.057376879,0.241117328,-0.813961204
2000,-0.493896417,-0.70338544,-1.944629157,0.208765697,-0.963935407
2001,-1.990632204,-0.824008723,-1.551238397,0.115576918,-1.291486944
2002,-2.17069878,-0.802765711,-0.897253673,0.103128419,-1.161838224
2003,-0.792113638,-0.812278097,-0.675365806,0.074186662,-0.966400801
2004,-0.754796951,-1.122991275,-0.61926241,0.053545049,-1.091312956
2005,-0.752977445,-1.628401126,-0.635292218,0.030227667,-1.080571457
2006,-0.759505916,-1.596378318,-0.568484712,0.002390199,-0.917272957
2007,-0.735282284,-1.187947957,-0.521646734,-0.069897069,-0.816175507
2008,-0.701922745,-1.028483175,-0.303790529,-0.226950769,-1.050939544
2009,-0.644281363,-1.110345754,-0.888185043,-0.489066296,-1.651024968
2010,-0.658275447,-2.09694342,-0.729475257,-0.818853336,-2.08130509
2011,-0.641228921,-2.258463899,-0.80216404,-1.20286774,-1.820767002
2012,-0.579220596,-1.341201988,-0.736565519,-1.546958415,-1.240359153
2013,-0.559647217,-1.012007368,-0.300972141,-1.745364744,-1.071034803
2014,-0.568389264,-0.859827343,0.0469539,-1.722307312,-0.941743354
