,United Arab Emirates,Qatar,Bahrain,Jordan,Niger
1990,5.784264577,3.110608023,3.039308338,4.78338753,3.11725863
1991,5.776096321,2.29953399,2.7515211660000003,5.313695462,3.21378172
1992,5.802706395,1.638081435,2.5794289409999998,5.614540068999999,3.299326901
1993,5.692129473,1.21901594,2.479136572,5.476018037,3.3689169889999997
1994,5.429052153,1.103605269,2.464294043,4.849999167,3.4173341589999997
1995,5.127893309,1.254902596,2.53461014,3.96720661,3.4515438169999997
1996,5.007767809,1.753750142,2.6198166780000003,3.0899430810000004,3.48239291
1997,5.077012222,2.418038671,2.7721895069999998,2.414966824,3.5154790830000002
1998,5.173952161,2.989680622,3.106261206,1.94928598,3.54723052
1999,5.289641917,3.372712397,3.65459387,1.759896757,3.5784075439999996
2000,5.510750099,3.7806546130000003,4.315314275,1.7872993959999999,3.6087675530000003
2001,5.241545482,3.7348230539999996,4.837379326000001,1.83437684,3.637747759
2002,5.193151862,4.11863432,5.248676155,1.902050746,3.664564012
2003,6.487373081,6.189341027,5.75751788,2.167623503,3.688279674
2004,9.174108047999999,9.978287442000001,6.360400534,2.654982949,3.709068833
2005,12.01992783,13.86973494,6.903368144,3.2684023439999996,3.727929015
2006,14.42466877,16.70019959,7.501540256,3.843365369,3.742057985
2007,15.17725135,17.51220727,7.775983565,4.30778632,3.7565761189999995
2008,13.91010551,16.47557629,7.324218649,4.702530018,3.7785294780000003
2009,11.04459859,14.14392358,6.127009516,5.009102655,3.809666088
2010,7.687222167000001,11.48337102,4.600184745,5.204823279,3.844166656
2011,4.536241844,9.231843484,2.960815592,5.379295595,3.876413583
2012,2.15417386,7.575372571,1.690358099,5.42391363,3.898743038
2013,0.614086082,6.20148517,1.153907053,5.167386647,3.90731712
2014,0.176775198,5.114901323,1.5875995719999998,4.586585111000001,3.8998469680000003
Country Total,167.51249611,167.27028477899998,102.14543382200002,96.458463919,90.54134615400001
